Project Title,Future-facing,Meet needs within existing system,Improves data tools,Site medical staff wants it,Strengthens MOH partnerships
Shire TB investigation,1,4,2,4,2
Moria DM program evaluation,3,0,2,2,5
White paper about the ring,1,0,3,3,5
New EMR for Mordor,2,4,4,5,2
Replace old EMR in Moria,1,5,4,4,4
Fancy new UI for EMR,5,1,2,2,0
Easier EMR set-up,5,4,3,4,0
Capacity-building for Some Fancy Tool,4,3,3,2,1
New form for Fellbeast Flu,2,5,0,3,4
Decentralizing data analysis,3,1,4,1,4
Integrating EMR with Some Fancy Tool,4,3,4,3,1
Deploying Rings of Power to all sites,2,0,1,2,0
